date,open,high,low,close,volume
2024-12-16 05:00:00,7.13,8.25,6.9,7.76,1971338.0
2024-12-17 05:00:00,8.0,8.39,6.802,7.38,1892923.0
2024-12-18 05:00:00,7.13,7.13,5.25,6.0,1304153.0
2024-12-19 05:00:00,6.6817,12.2,6.19,7.73,8447452.0
2024-12-20 05:00:00,7.14,9.9664,6.54,7.72,2945727.0
2024-12-23 05:00:00,7.85,8.46,7.78,8.38,1103244.0
2024-12-24 05:00:00,8.21,8.3599,7.72,7.99,618130.0
2024-12-26 05:00:00,8.05,8.5599,7.635,7.98,1206147.0
2024-12-27 05:00:00,8.28,10.0,7.65,8.48,2314377.0
2024-12-30 05:00:00,8.39,9.47,7.8929,9.13,1456138.0
2024-12-31 05:00:00,9.0,9.08,7.1,7.69,1105361.0
2025-01-02 05:00:00,7.98,8.15,6.9025,7.58,926892.0
2025-01-03 05:00:00,7.7,7.83,7.37,7.54,742132.0
2025-01-06 05:00:00,7.5,7.6187,6.85,7.05,889624.0
2025-01-07 05:00:00,7.98,8.0,6.7401,7.33,2244128.0
2025-01-08 05:00:00,6.99,6.99,5.68,6.19,827039.0
2025-01-10 05:00:00,6.59,6.59,5.7461,6.1,952411.0
2025-01-13 05:00:00,5.98,5.98,5.17,5.26,683559.0
2025-01-14 05:00:00,5.3,6.25,5.3,6.2,787629.0
2025-01-15 05:00:00,6.24,6.4,5.88,6.3,448999.0
2025-01-16 05:00:00,6.53,6.59,6.03,6.4,717599.0
2025-01-17 05:00:00,6.55,6.55,6.03,6.12,206920.0
2025-01-21 05:00:00,6.45,6.537,5.9588,6.24,401847.0
2025-01-22 05:00:00,6.14,6.29,5.75,6.08,425305.0
2025-01-23 05:00:00,5.98,6.1399,5.72,5.92,319108.0
2025-01-24 05:00:00,5.83,6.06,5.57,6.04,355068.0
2025-01-27 05:00:00,5.6,5.61,5.0,5.13,415523.0
2025-01-28 05:00:00,5.25,5.2501,4.5,4.5,430737.0
2025-01-29 05:00:00,4.5,4.69,4.45,4.51,225120.0
2025-01-30 05:00:00,4.63,4.7099,4.49,4.49,152177.0
2025-01-31 05:00:00,4.51,5.3,4.45,4.86,298474.0
2025-02-03 05:00:00,4.45,4.5376,4.18,4.34,209785.0
2025-02-04 05:00:00,4.43,4.94,4.43,4.74,511514.0
2025-02-05 05:00:00,4.74,4.9463,4.53,4.66,188622.0
2025-02-06 05:00:00,4.86,5.06,4.705,4.95,295107.0
2025-02-07 05:00:00,5.1,5.34,4.75,4.87,256145.0
2025-02-10 05:00:00,4.8,4.92,4.769,4.8,109576.0
2025-02-11 05:00:00,4.78,5.85,4.76,5.62,856543.0
2025-02-12 05:00:00,5.25,5.515,5.06,5.18,451294.0
2025-02-13 05:00:00,5.29,5.5983,5.25,5.5,235852.0
2025-02-14 05:00:00,5.78,5.78,5.1,5.27,223822.0
2025-02-18 05:00:00,5.34,5.42,4.9,4.99,140013.0
2025-02-19 05:00:00,5.0,5.16,4.91,4.91,143288.0
2025-02-20 05:00:00,4.9,4.99,4.64,4.77,168591.0
2025-02-21 05:00:00,4.81,4.9,4.55,4.62,142662.0
2025-02-24 05:00:00,4.65,4.73,4.17,4.26,193094.0
2025-02-25 05:00:00,4.05,4.36,3.6804,3.93,246070.0
2025-02-26 05:00:00,3.93,4.1099,3.71,3.71,112496.0
2025-02-27 05:00:00,3.96,3.96,3.6,3.67,116218.0
2025-02-28 05:00:00,3.5,3.66,3.3327,3.4,158803.0
2025-03-03 05:00:00,3.23,3.45,2.65,2.7,318038.0
2025-03-04 05:00:00,2.66,3.02,2.4464,2.84,264534.0
2025-03-05 05:00:00,3.16,3.17,2.92,3.01,146344.0
2025-03-06 05:00:00,3.04,3.421606,2.87,3.03,343706.0
2025-03-07 05:00:00,2.98,3.0482,2.78,2.94,137016.0
2025-03-10 04:00:00,2.86,2.9104,2.56,2.67,107877.0
2025-03-11 04:00:00,2.97,2.97,2.72,2.81,99102.0
2025-03-12 04:00:00,2.87,4.74,2.86,4.57,6892199.0
2025-03-13 04:00:00,4.63,4.66,3.82,4.02,1662507.0
2025-03-14 04:00:00,3.91,4.1475,3.4,3.49,696066.0
2025-03-17 04:00:00,3.57,3.8,3.4167,3.45,381137.0
2025-03-18 04:00:00,3.76,3.94,3.18,3.3,386424.0
2025-03-19 04:00:00,3.2,3.3,2.94,3.08,274287.0
2025-03-20 04:00:00,3.04,3.165,3.0,3.08,147600.0
2025-03-21 04:00:00,3.01,3.065,2.87,2.93,170655.0
2025-03-24 04:00:00,3.01,3.05,2.93,2.99,145603.0
2025-03-25 04:00:00,3.11,3.2,2.97,3.12,175929.0
2025-03-26 04:00:00,3.07,3.12,2.8,2.83,228734.0
2025-03-27 04:00:00,2.85,3.06,2.82,2.9,273281.0
2025-03-28 04:00:00,2.9,2.96,2.6726,2.8,179136.0
2025-03-31 04:00:00,2.6,2.6499,2.5,2.58,184138.0
2025-04-01 04:00:00,2.57,2.7053,2.51,2.69,136735.0
2025-04-02 04:00:00,2.56,2.75,2.51,2.62,201492.0
2025-04-03 04:00:00,2.5,2.52,2.25,2.25,256321.0
2025-04-04 04:00:00,2.29,2.29,2.04,2.09,165798.0
2025-04-07 04:00:00,2.05,2.0893,1.8201,2.04,184678.0
2025-04-08 04:00:00,2.24,2.3,1.92,2.0,159170.0
2025-04-09 04:00:00,2.08,2.5,1.9227,2.22,232539.0
2025-04-10 04:00:00,2.25,2.2688,2.06,2.19,114839.0
2025-04-11 04:00:00,2.16,2.4,2.14,2.36,142513.0
2025-04-14 04:00:00,2.4,2.58,2.13,2.25,205057.0
2025-04-15 04:00:00,2.45,2.45,2.16,2.2,119618.0
2025-04-16 04:00:00,2.14,2.28,2.11,2.17,105592.0
2025-04-17 04:00:00,2.16,2.26,2.0899,2.2,107111.0
2025-04-21 04:00:00,2.24,2.24,2.03,2.05,127009.0
2025-04-22 04:00:00,2.16,2.5088,2.04,2.2,722990.0
2025-04-23 04:00:00,2.25,2.27,2.1416,2.19,394061.0
2025-04-24 04:00:00,2.73,3.03,2.4,2.6,48383663.0
2025-04-25 04:00:00,2.57,2.59,2.34,2.37,1221574.0
2025-04-28 04:00:00,2.32,2.37,2.2,2.2,498594.0
2025-04-29 04:00:00,2.21,2.28,2.0786,2.1,466202.0
2025-04-30 04:00:00,2.13,2.14,2.0,2.11,337823.0
2025-05-01 04:00:00,2.11,2.2,2.05,2.2,174116.0
2025-05-02 04:00:00,2.16,2.28,2.15,2.19,320480.0
2025-05-05 04:00:00,2.18,2.2599,2.03,2.04,217461.0
2025-05-06 04:00:00,2.07,2.0995,2.0,2.05,247329.0
2025-05-07 04:00:00,2.05,2.1004,2.05,2.09,98517.0
2025-05-08 04:00:00,2.1,2.25,2.1,2.14,399126.0
2025-05-09 04:00:00,2.16,2.18,2.01,2.08,253443.0
2025-05-12 04:00:00,2.14,2.1795,2.1,2.13,209627.0
2025-05-13 04:00:00,2.16,2.33,2.16,2.25,392685.0
2025-05-14 04:00:00,2.26,2.2996,2.21,2.21,351757.0
2025-05-15 04:00:00,2.23,2.24,2.13,2.19,954507.0
2025-05-16 04:00:00,2.33,2.64,2.33,2.49,1668691.0
2025-05-19 04:00:00,2.4,2.46,2.34,2.37,309399.0
2025-05-20 04:00:00,2.45,2.59,2.39,2.43,474815.0
2025-05-21 04:00:00,2.45,2.49,2.3,2.3,440244.0
2025-05-22 04:00:00,2.39,2.44,2.3101,2.43,250640.0
2025-05-23 04:00:00,2.43,2.5,2.34,2.5,238873.0
2025-05-27 04:00:00,2.67,3.74,2.59,2.65,23443723.0
2025-05-28 04:00:00,2.73,2.95,2.65,2.83,1234548.0
2025-05-29 04:00:00,2.94,2.97,2.74,2.75,731774.0
2025-05-30 04:00:00,2.7,2.87,2.68,2.77,386851.0
2025-06-02 04:00:00,2.93,3.13,2.79,2.89,1055812.0
2025-06-03 04:00:00,2.95,3.105,2.9,3.02,1256426.0
2025-06-04 04:00:00,3.09,3.19,3.0,3.18,928524.0
2025-06-05 04:00:00,4.73,6.92,4.15,4.45,136896984.0
2025-06-06 04:00:00,4.4,4.78,4.05,4.29,6679764.0
2025-06-09 04:00:00,4.6604,5.88,4.41,4.54,11853595.0
2025-06-10 04:00:00,5.26,5.4,4.7,4.9,9175792.0
2025-06-11 04:00:00,5.07,5.45,4.71,4.84,2922707.0
2025-06-12 04:00:00,5.1,5.27,4.82,5.05,3511075.0
2025-06-13 04:00:00,5.32,6.3,4.87,4.97,12748480.0
2025-06-16 04:00:00,5.276,5.28,4.9139,5.05,2317188.0
2025-06-17 04:00:00,5.179,5.18,4.59,4.72,2132380.0
2025-06-18 04:00:00,4.8,4.8,4.13,4.32,1706718.0
2025-06-20 04:00:00,4.2,4.4,3.83,3.95,1055246.0
2025-06-23 04:00:00,3.94,4.08,3.73,3.77,899497.0
2025-06-24 04:00:00,4.05,4.09,3.8,3.86,1040293.0
2025-06-25 04:00:00,4.01,4.12,3.82,3.93,1219054.0
2025-06-26 04:00:00,3.94,3.94,3.67,3.75,783832.0
2025-06-27 04:00:00,3.75,3.75,3.37,3.45,881412.0
2025-06-30 04:00:00,3.5,3.74,3.45,3.67,695140.0
2025-07-01 04:00:00,3.71,3.71,3.48,3.49,604680.0
